iter	Logloss
0	0.6775448132
1	0.6618304553
2	0.6467047436
3	0.6324285639
4	0.618711254
5	0.6050512984
6	0.5912660495
7	0.5788008579
8	0.5672374373
9	0.5557421638
10	0.5452423651
11	0.5335037003
12	0.523352292
13	0.5138747592
14	0.5056238617
15	0.4967673632
16	0.4883502591
17	0.4799783218
18	0.471945131
19	0.4646916313
20	0.4574320489
21	0.4506238562
22	0.4437437509
23	0.4366658825
24	0.4300390334
25	0.4233229151
26	0.4178412315
27	0.4122642164
28	0.4068021771
29	0.401902218
30	0.3974986021
31	0.3932565698
32	0.3885844878
33	0.3842196325
34	0.3806237495
35	0.3770423407
36	0.3729066723
37	0.3697844036
38	0.3662138827
39	0.3627871907
40	0.3591129301
41	0.3561563828
42	0.3526869105
43	0.3494200575
44	0.3462631306
45	0.3440522843
46	0.3418746894
47	0.3400521302
48	0.3375705105
49	0.3351004734
50	0.3322032263
51	0.3297632143
52	0.3275336734
53	0.32512066
54	0.3228389724
55	0.3206562669
56	0.3185961329
57	0.3165265276
58	0.3145012304
59	0.3127869411
60	0.3112706365
61	0.3098305335
62	0.3080585969
63	0.306497131
64	0.3049626425
65	0.3034433823
66	0.3021257959
67	0.3008298753
68	0.2997808554
69	0.2984501464
70	0.296711023
71	0.2954584689
72	0.2940905963
73	0.2926974371
74	0.2918446872
75	0.2904491741
76	0.2894671458
77	0.288113907
78	0.2872808187
79	0.2862745885
80	0.2854252636
81	0.2845679006
82	0.2836261328
83	0.2828932827
84	0.2820766133
85	0.2811630837
86	0.2801866089
87	0.2794296561
88	0.278593718
89	0.277672997
90	0.2770675512
91	0.2762326843
92	0.2753891876
93	0.2746483068
94	0.2739292592
95	0.2730519719
96	0.2723000471
97	0.2715695204
98	0.2706647076
99	0.2698879843
100	0.2692945384
101	0.2687522495
102	0.2681232678
103	0.2676582829
104	0.2671549885
105	0.2666189368
106	0.266097713
107	0.2652472863
108	0.264535742
109	0.2639607128
110	0.2635022095
111	0.2628866916
112	0.262263314
113	0.2615247906
114	0.2610617496
115	0.260856716
116	0.2605408716
117	0.2599778729
