iter	RMSE
0	0.4942180803
1	0.4886822461
2	0.4834696388
3	0.4779654199
4	0.4730174474
5	0.4679896138
6	0.4640225998
7	0.4593691132
8	0.4546722187
9	0.4506692366
10	0.4465266876
11	0.4418726041
12	0.4386317685
13	0.4352095449
14	0.4324507231
15	0.4301332942
16	0.4269792211
17	0.424075086
18	0.420939727
19	0.4184973302
20	0.4156398213
21	0.4128809196
22	0.4098079251
23	0.407634853
24	0.404862775
25	0.4021289111
26	0.399148395
27	0.3967713459
28	0.3946221367
29	0.3918838613
30	0.3893181865
31	0.3871292211
32	0.3849933401
33	0.3830718958
34	0.3811751857
35	0.3794361378
36	0.3778081869
37	0.3758897168
38	0.374604892
39	0.3730797081
40	0.3717007612
41	0.3703218578
42	0.369253638
43	0.3679145746
44	0.3669627557
45	0.3654473082
46	0.3642335487
47	0.3626796862
48	0.3611748873
49	0.3603751806
50	0.359069228
51	0.3575461687
52	0.3560951936
53	0.3546818538
54	0.3536784885
55	0.3521948012
56	0.3515728392
57	0.3503841841
58	0.3492583148
59	0.3481038787
60	0.3473334554
61	0.3465419813
62	0.3457469942
63	0.3446403631
64	0.3438867693
65	0.3430916559
66	0.3420412323
67	0.3413692288
68	0.3400866501
69	0.3394113434
70	0.338705601
71	0.33822758
72	0.3372929922
73	0.3364820612
74	0.3356488465
75	0.3346981085
76	0.3339070634
77	0.3331580649
78	0.33231802
79	0.3312526987
80	0.3302827553
81	0.328991047
82	0.3281169738
83	0.3274144647
84	0.3267433399
85	0.3262657387
86	0.3254487279
87	0.3243850286
88	0.3237591807
89	0.3231846803
90	0.3229326152
91	0.3221905875
92	0.3219009297
93	0.3215034275
94	0.3210119443
95	0.395	0.3104096	0.3196742116
97	0.3193505892
98	0.3187991455
99	0.3180093447
100	0.3176020134
101	0.3167366949
102	0.3164512773
103	0.3159555694
104	0.3155091707
105	0.3145143056
106	0.3139193642
107	0.3132942648
108108	0.30231951109	0.3123549782
110	0.3111842103
111	0.3098994752
112	0.30931882
113	0.3085292679
114	0.3074626321
115	0.3069532367
116	0.3064917376
117	0.3056199129
118	0.3046099294
119	0.3040087821
120	0.3035922933
121	0.3028670457
122	0.3022873183
123	0.301621809
124	0.3010217192
125	0.3004764543
126	0.2996961781
127	0.2990862851
128	0.2984653162
129	0.2981314209
130	0.297384184
131	0.2971278894
132	0.2967075234
133	0.2963562889
134	0.2956198168
135	0.2951519379
136	0.2948425369
137	0.2943964542
138	0.2937977156
139	0.2935744284
140	0.2929490668
141	0.2921566327
142	0.2913061379
143	0.2907454291
144	0.2898214755
145	0.2894185107
146	0.288668681
147	0.2881195
148	0.2873439666
149	0.2866677976
150	0.2864454856
151	0.2861130484
152	0.285588144
153	0.2849500274
154	0.2845984556
155	0.2840560864
156	0.2832174763
157	0.2826988641
158	0.2820423238
159	0.2811238573
160	0.2806475234
161	0.2802500225
162	0.2797349542
163	0.2790870749
164	0.2786571153
165	0.2782393268
166	0.2778739343
167	0.2772687263
168	0.2764847197
169	0.2759509614
170	0.2754025229
171	0.2748669901
172	0.2745139343
173	0.2738369355
174	0.2733247584
175	0.2729281886
176	0.2723711927
177	0.2715481044
178	0.2706494456
179	0.2701761742
180	0.2693907246
181	0.2687171352
182	0.2681791294
183	0.2674401261
184	0.2671357134
185	0.2669600775
186	0.2663272612
187	0.265723051
188	0.2649132359
189	0.2647268936
190	0.2642017066
191	0.2637085495
192	0.2634314319
193	0.2630599393
194	0.2628665829
195	0.2625075706
196	0.2618357393
197	0.2615879582
198	0.2607384136
199	0.2601768098
200	0.2596267461
201	0.2593859072
202	0.2590867162
203	0.2583274325
204	0.2574416182
205	0.2570082436
206	0.2564444957
207	0.2563140813
208	0.2560588917
209	0.2557319772
210	0.2546805151
211	0.2544142075
212	0.2537076993
213	0.2534000332
214	0.2524369738
215	0.251717231
216	0.2515412188
217	0.2513625599
218	0.2506159495
219	0.2505595084
220	0.2499481769
221	0.2497432948
222	0.2491286568
223	0.2488883475
224	0.2486362668
225	0.2484904852
226	0.247650253
227	0.2474365779
228	0.2467233848
229	0.2459701918
230	0.2454836035
231	0.244957176
232	0.2441506237
233	0.2436635099
234	0.2432324298
235	0.2426344888
236	0.2417835198
237	0.2409843684
238	0.2402563556
239	0.2398809623
240	0.2396319544
241	0.2391889225
242	0.2388433889
243	0.2382444581
244	0.2379119515
245	0.2372919956
246	0.2370436151
247	0248	0.2424509853
249	0.2419171902
250	0.2416499619
251	0.2412135309
