iter	Passed	Remaining
0	57	57545
1	57	28832
2	59	19841
3	60	14943
4	60	11975
5	60	10055
6	60	8642
7	61	7585
8	61	6754
9	61	6089
10	61	5540
11	61	5090
12	62	4707
13	62	4378
14	62	4093
15	62	3840
16	62	3620
17	62	3425
18	62	3250
19	63	3092
20	63	2946
21	63	2816
22	64	2720
23	64	2611
24	64	2524
25	64	2432
26	65	2355
27	65	2274
28	65	2200
29	65	2131
30	66	2065
31	66	2004
32	66	1953
33	67	1916
34	68	1875
35	68	1832
36	69	1796
37	69	1757
38	69	1715
39	69	1673
40	69	1634
41	70	1597
42	70	1561
43	71	1550
44	71	1516
45	72	1493
46	72	1463
47	72	1435
48	72	1407
49	72	1381
50	72	1355
51	73	1345
52	73	1321
53	74	1311
54	75	1298
55	75	1276
56	75	1255
57	76	1236
58	76	1216
59	76	1197
60	76	1179
61	76	1161
62	76	1144
63	77	1128
64	77	1112
65	77	1096
66	77	1083
67	77	1069
68	78	1054
69	78	1040
70	78	1026
71	79	1020
72	79	1008
73	79	996
74	79	984
75	79	972
76	80	961
77	80	949
78	80	938
79	81	934
80	81	926
81	82	918
82	82	912
83	82	902
84	82	893
85	83	883
86	83	874
87	83	865
88	83	856
89	83	847
90	83	838
91	84	829
92	84	820
93	84	812
94	8495	87	821
96	8796	8597	8797	8598	8798	8599	8799	85100	8100	86101	8101	86	761
102	87	761
103	88	758
104	88	756
105	88	750
106	89	744
107	89108	92	752
109	9109	90110	9110	91	733
111	91	728
112	92	722
113	92	716
114	92	710
115	92	705
116	93	708
117	94	703
118	94	702
119	95	696
120	95	694
121	96	694
122	96	689
123	96	684
124	98	687
125	98	683
126	98	680
127	99	675
128	99	670
129	100	670
130	100	666
131	100	661
132	101	659
133	101	657
134	102	656
135	102	653
136	104	655
137	104	653
138	104	648
139	104	644
140	105	640
141	105	635
142	105	631
143	105	627
144	105	623
145	105	619
146	106	616
147	106	612
148	106	608
149	107	607
150	107	603
151	107	600
152	107	597
153	108	595
154	108	591
155	108	588
156	109	587
157	109	584
158	109	581
159	110	578
160	110	576
161	111	576
162	111	573
163	111	570
164	112	567
165	112	564
166	112	560
167	112	558
168	112	555
169	113	552
170	113	549
171	114	552
172	114	549
173	115	546
174	115	544
175	115	541
176	115	538
177	116	539
178	117	537
179	117	534
180	117	532
181	117	530
182	118	527
183	118	524
184	118	522
185	118	519
186	118	517
187	119	514
188	119	512
189	119	509
190	119	507
191	120	506
192	120	503
193	120	502
194	121	501
195	121	498
196	121	496
197	122	494
198	122	491
199	122	489
200	122	488
201	123	487
202	123	484
203	123	482
204	124	481
205	124	478
206	124	476
207	124	474
208	124	472
209	125	470
210	125	468
211	126	469
212	126	468
213	127	467
214	127	465
215	128	465
216	128	465
217	129	463
218	129	461
219	129	459
220	129	457
221	130	455
222	130	453
223	130	451
224	130	449
225	131	449
226	132	449
227	132	448
228	132	446
229	133	445
230	133	443
231	133	442
232	133	440
233	134	439
234	134	438
235	134	437
236	135	437
237	136	435
238	136	433
239	136	432
240	136	430
241	136	429
242	137	427
243	137	426
244	138	426
245	138	425
246	138	423
247	139	421
248	139	420
249	140	420
250248	182	550
