iter	Passed	Remaining
0	57	57132
1	61	30923
2	67	22591
3	70	17658
4	76	15241
5	82	13659
6	86	12266
7	93	11642
8	100	11120
9	105	10429
10	110	9948
11	113	9355
12	117	8957
13	122	8613
14	129	8536
15	134	8272
16	141	8207
17	148	8078
18	153	7948
19	158	7745
20	162	7586
21	167	7438
22	171	7267
23	175	7156
24	180	7034
25	184	6901
26	189	6829
27	193	6706
28	198	6633
29	205	6656
30	211	6624
31	217	6564
32	221	6496
33	225	6420
34	231	6381
35	236	6342
36	242	6307
37	247	6269
38	251	6206
39	255	6122
40	258	6053
41	262	5991
42	266	5938
43	270	5875
44	276	5872
45	279	5805
46	285	5788
47	293	5821
48	301	5847
49	303	5771
50	310	5770
51	314	5732
52	320	5726
53	324	5678
54	327	5633
55	331	5593
56	337	5591
57	343	5579
58	348	5552
59	353	5532
60	358	5521
61	363	5494
62	367	5469
63	371	5436
64	378	5443
65	382	5406
66	387	5391
67	391	5369
68	397	5359
69	403	5358
70	408	5345
71	413	5329
72	416	5285
73	419	5252
74	423	5218
75	426	5185
76	431	5176
77	436	5160
78	441	5150
79	445	5117
80	452	5132
81	456	5108
82	460	5090
83	466	5088
84	472	5085
85	476	5063
86	483	5078
87	489	5076
88	495	5072
89	499	5052
90	506	5062
91	511	5044
92	515	5030
93	518	4995
94	521	4965
95	526	4957
96	537	5000
97	544	5014
98	547	4983
99	551	4963
100	555	4946
101	559	4921
102	565	4928
103	570	4916
104	573	4889
105	575	4857
106	579	4837
107	582	4811
108	592	4845
109	598	4842
110	602	4825
111	608	4824
112	611	4798
113	613	4771
114	617	4752
115	621	4739
116	627	4735
117	632	4729
118	638	4728
119	644	4728
120	648	4712
121	657	4729
122	662	4725
123	666	4706
124	669	4687
125	672	4666
126	678	4665
127	689	4696
128	692	46761129	698	4674
130	702	46581131	705	46411132	711	4641
133	715	4624
134	721	4619
135	725	46061136	728	45901137	734	45861138	737	45661139	745	4579
140	752	4583
141	758	4585
142	763	4577
143	768	4565
144	773	4563
145	778	4556
146	784	4554
147	789	4542
148	793	4531
149	799	4531
150	803	4516
151	807	4504
152	814	4506
153	819	4502
154	825	4501
155	831	4498
156	838	4504
157	844	4499
158	847	4482
159	850	4465
160	856	4465
161	859	4447
162	862	4430
163	865	4411
164	868	4397
165	871	4378
166	877	4375
167	879	4354
168	885	4354
169	888	4338
170	891	4321
171	894	43051172	898	42921173173	935	41174	909	42851175	914	4282
176	921	4282
177	926	4276
178	929	4265
179	932	4247
180	934	4229
181	938	4217
182	944	4215
183	949	4208
184	951	4191
1185	1009	44118186	1014	44187187	1020	4188	188	1026	189	9189	1030190	91190	103191	984191	10192	990	192	1193	995	4193	194	999	41194195	1003	41195196	1006	4196	1054	4298
197	1061	4300
198	1067	4297
199	1075	4301
200	1081	4297
201	1087	4296
202	1092	4288
203	1101	4297
204	1105	4287
205	1111	4282
206	1117	4279
207	1123	4276
208	1127	4267
209	1130	4253
210	1137	4252
211	1142	4244
212	1145	4234
213	1151	4228
214	1157	4224
215	1162	4220
216	1168	4217
217	1178	4226
218	1186	4232
219	1193	4229
220	1201	4235
221	1204	4221
222	1209	4215
223	1215	4212
224	1221	4208
225	1231	4217
226	1237	4212
227	1243	4208
228	1246	4195
229	1251	4189
230	1262	4202
231	1266	4192
232	1272	4187
233	1276	4178
234	1279	4165
235	1286	4164
236	1292	4159
237	1295	4146
238	1301	4142
239	1304	4129
240	1306	4115
241	1311	4107
242	1314	4096
243	1322	4097
244	1326	4088
245	1333	4088
246	1340	4087
247	1345	4079
248	1349	4070
249	1356	4068
250	1362	4067
