iter	Logloss
0	0.6649638197
1	0.6425561381
2	0.6234323131
3	0.6053382397
4	0.5904768661
5	0.578177693
6	0.5664327374
7	0.5561563724
8	0.547955347
9	0.5401177403
10	0.5338485963
11	0.5270631214
12	0.5219382592
13	0.5180319734
14	0.5143079886
15	0.5110579631
16	0.5067547418
17	0.5041870077
18	0.5010675198
19	0.4986602727
20	0.4968723896
21	0.494289621
22	0.4930062662
23	0.4913926409
24	0.4900280651
25	0.4888498305
26	0.4873143477
27	0.4862158923
28	0.4851124352
29	0.483802677
30	0.4827745808
31	0.48194735
32	0.4812310213
33	0.4802764712
34	0.4792335966
35	0.4784884291
36	0.4779099167
37	0.4773216325
38	0.4768365314
39	0.4762963527
40	0.4755672364
41	0.4749599384
42	0.4744004481
43	0.4736045834
44	0.4731793378
45	0.4726717149
46	0.4719657218
47	0.4715061659
48	0.4711305644
49	0.4705367378
50	0.4701456508
51	0.4696332217
52	0.4693063264
53	0.4689998225
54	0.4684898066
55	0.4681899973
56	0.4676455393
57	0.4673504754
58	0.4670320213
59	0.466641754
60	0.4663782104
61	0.4660170488
62	0.4656890307
63	0.4653706097
64	0.4649913255
65	0.4646580564
66	0.4643822155
67	0.464170306
68	0.4638948276
69	0.4635477255
70	0.4632987143
71	0.4629198016
72	0.4626812913
73	0.4624353478
74	0.4621348442
75	0.4617333617
76	0.4614868164
77	0.4611932515
78	0.4609284529
79	0.4607425925
80	0.460220083
81	0.4599439426
8282	0.4585531898383	0.4583503198484	0.4580988663
85	0.4577982476
86	0.4576363634
87	0.4574254229
88	0.4571882899
89	0.4568527149
90	0.4565822287
91	0.4564030334
92	0.4561643536
93	0.4559945609
94	0.4558173611
95	0.45564691
96	0.4554378326
97	0.4552716575
98	0.4550812788
99	0.4548756203
100	0.4546178601
101	0.454440798
102	0.4542067
103	0.4540695303
104	0.4538254684
105	0.4535552576
106	0.4533516282
107	0.4531889478
108	0.4529625978
109	0.452807415
110	0.4526328927
111	0.452228034
112	0.4520591697
113	0.4516414334
114	0.4513581031
115	0.4510762887
116	0.4508948838
117	0.4506303213
118	0.4504615419
119	0.450297801
120	0.4500345129
121	0.4498852085
122	0.449729411
123	0.449512111
124	0.4493543463
125	0.4492092534
126	0.4490159223
127	0.4488615972
128	0.4486983476
129	0.4485044651
130	0.4483345203
131	0.4479788992
132	0.4478178613
133	0.4476412861
134	0.447496186
135	0.4473175
136	0.4471548149
137	0.4470061671
138	0.4468517263
139	0.4466386609
140	0.446425503
141	0.4462689959
142	0.4461425122
143	0.4459505665
144	0.445789921
145	0.4456473029
146	0.4454851386
147	0.4453029655
148	0.4451381966
149	0.4449939327
150	0.444885883
151	0.4447723974
152	0.4446604981
153	0.4444500443
154	0.4442823102
155	0.4441931469
156	0.4440765262
157	0.4438659626
158	0.4436892824
159	0.4435054183
160	0.4433459202
161	0.4431942236
162	0.4428962772
163	0.4427503014
164	0.4426111715
165	0.4424473169
166	0.4421326998
167	0.4419374937
168	0.4418222168
169	0.4416602792
170	0.4414969983
171	0.4412546149
172	0.4411376452
173	0.4410255409
174	0.4408711938
175	0.4407112731
176	0.4405609036
177	0.440432756
178	0.4402554038
179	0.4401049804
180	0.4399549919
181	0.4397737795
182	0.4395835687
183	0.4393434285
184	0.4391992969
185	0.4390448797
186	0.438894906
187	0.4387052766
188	0.4384977918
189	0.4383653649
190	0.4381875768
191	0.4379590363
192	0.4377988825
193	0.4376084208
194	0.4374140285
195	0.4372479976
196	0.436937703
197	0.4367860175
198	0.436506663
199	0.4363203832
200	0.4361005554
201	0.4359385404
202	0.4358028289
203	0.4356204032
204	0.4354367739
205	0.4352924017
206	0.4351086918
207	0.4349152969
208	0.4347072202
209	0.4345891837
210	0.4344250718
211	0.4342204257
212	0.4340440238
213	0.4338786089
214	0.433697011
215	0.4335489842
216	0.4333501896
217	0.4331744494
218	0.4329302768
219	0.4326756485
220	0.4325506237
221	0.4323728142
222	0.4322475955
223	0.4320736553
224	0.4319076609
225	0.4317336587
226	0.4315879886
227	0.4313747978
228	0.4312033742
229	0.4310602507
230	0.4309010171
231	0.4307781543
232	0.4305874875
233	0.4303801458
234	0.4302395809
235	0.4300830494
236	0.4297723435
237	0.4295906968
238	0.4294017448
239	0.4291610465
240	0.4289650048
241	0.4288045376
242	0.4286218167
243	0.4284317976
244	0.4282587577
245	0.4280703568
246	0.4278930964
247	0.4277672736
248	0.4276128897
249	0.4274070598
250	0.4272200872
251	0.4271024145
252	0.4269246335
253	0.4267730515
254	0.4266293639
255	0.4264891064
256	0.4263528619
257	0.4261920285
258	0.4260324106
259	0.4258775691
260	0.4257531451
261	0.425596172
262	0.4254714771
263	0.4253351395
264	0.4251420934
265	0.4249745677
266	0.4248470898
267	0.4246799635
268	0.424551607
269	0.4244269624
270	0.4242442626
271	0.424079871
272	0.4239022665
273	0.4237565599
274	0.4236056629
275	0.4234276768
276	0.4232525216
277	0.4230972803
278	0.4229252819
279	0.4227850469
280	0.4226210683
281	0.4224719466
282	0.4222181212
283	0.4220620398
284	0.4219525857
285	0.4218080486
286	0.4215348114
287	0.421392026
288	0.4212585057
289	0.4211093224
290	0.4209316678
291	0.4207778762
292	0.4205350507
293	0.4203226294
294	0.4201643904
295	0.4200043419
296	0.4198208488
297	0.4196642046
298	0.4194210863
299	0.4192663606
300	0.4191463693
301	0.4190133345
302	0.4188854422
303	0.4187518015
304	0.4186201126
305	0.4184949275
306	0.4183504403
307	0.4181422308
308	0.4180155798
309	0.4178463608
310	0.4177495416
311	0.417575157
312	0.4174473917
