iter	Passed	Remaining
0	103	103642
1	137	68578
2	161	53760
3	191	47714
4	214	42757
5	249	41364
6	279	39646
7	309	38346
8	333	36727
9	356	35280
10	386	34771
11	415	34188
12	439	33382
13	467	32920
14	500	32877
15	536	32969
16	565	32706
17	587	32048
18	622	32128
19	655	32138
20	677	31566
21	707	31468
22	731	31073
23	754	30680
24	793	30953
25	846	31694
26	871	31395
27	894	31049
28	918	30759
29	947	30637
30	972	30392
31	994	30085
32	1023	29981
33	1041	29594
34	1068	29465
35	1109	29704
36	1143	29756
37	1184	29989
38	1215	29940
39	1245	29888
40	1277	29877
41	1310	29884
42	1336	29743
43	1361	29576
44	1392	29557
45	1419	29437
46	1452	29454
47	1482	29412
48	1511	29335
49	1541	29291
50	1578	29373
51	1614	29427
52	1638	29273
53	1673	29322
54	1749	30062
55	1789	30161
56	1819	30097
57	1861	30230
58	1893	30198
59	1931	30266
60	1981	30499
61	2010	30419
62	2041	30369
63	2079	30417
64	2111	30374
65	2131	30166
66	2156	30032
67	2186	29964
68	2214	29879
69	2239	29756
70	2270	29703
71	2303	29686
72	2329	29577
73	2354	29465
74	2373	29273
75	2382	28969
76	2409	28880
77	2435	28783
78	2463	28717
79	2485	28578
80	2499	28357
81	2512	28124
82	2582	2927	383	2583	2952	384	2584	2985	32133
85	3011	32007
86	3035	31851
87	3071	31836
88	3095	31689
89	3117	31521
90	3147	31436
91	3176	31353
92	3198	31192
93	3228	31114
94	3256	31025
95	3285	30942
96	3319	30901
97	3340	30748
98	3363	30608
99	3388	30494
100	3408	30340
101	3435	30241
102	3462	30153
103	3485	30031
104	3512	29940
105	3539	29848
106	3564	29752
107	3582	29591
108	3596	29402
109	3611	29222
110	3630	29074
111	3654	28971
112	3676	28861
113	3724	28945
114	3796	29220
115	3828	29175
116	3868	29197
117	3895	29120
118	3930	29100
119	4001	29342
120	4024	29234
121	4058	29211
122	4132	29468
123	4179	29524
124	4242	29695
125	4269	29612
126	4306	29600
127	4328	29485
128	4358	29425
129	4406	29488
130	4448	29508
131	4513	29681
132	4562	29739
133	4599	29726
134	4633	29687
135	4673	29688
136	4698	29598
137	4730	29547
138	4757	29466
139	4805	29519
140	4879	29724
141	4915	29700
142	4949	29664
143	5004	29750
144	5041	29726
145	5084	29738
146	5126	29745
147	5168	29754
148	5234	29894
149	5261	29813
150	5295	29774
151	5335	29768
152	5362	29688
153	5403	29682
154	5426	29585
155	5460	29542
156	5481	29434
157	5510	29367
158	5572	29473
159	5617	29494
160	5661	29504
161	5696	29466
162	5734	29446
163	5764	29383
164	5790	29302
165	5825	29269
166	5865	29259
167	5898	29210
168	5937	29197
169	5973	29162
170	5997	29076
171	6045	29103
172	6081	29072
173	6158	29233
174	6189	29181
175	6219	29117
176	6245	29038
177	6315	29164
178	6380	29265
179	6416	29231
180	6440	29141
181	6460	29038
182	6487	28963
183	6515	28893
184	6542	28821
185	6568	28745
186	6598	28688
187	6638	28674
188	6662	28589
189	6685	28500
190	6724	28482
191	6754	28426
192	6788	28385
193	6813	28307
